caldt,sp500,sp500_ret
1871-02-01,4.5,0.013513513513513375
1871-03-01,4.61,0.02444444444444449
1871-04-01,4.74,0.02819956616052055
1871-05-01,4.86,0.025316455696202445
1871-06-01,4.82,-0.008230452674897082
1871-07-01,4.73,-0.018672199170124415
1871-08-01,4.79,0.012684989429175397
1871-09-01,4.84,0.010438413361169019
1871-10-01,4.59,-0.051652892561983466
1871-11-01,4.64,0.01089324618736387
1871-12-01,4.74,0.02155172413793105
1872-01-01,4.86,0.025316455696202445
1872-02-01,4.88,0.00411522633744843
1872-03-01,5.04,0.032786885245901676
1872-04-01,5.18,0.02777777777777768
1872-05-01,5.18,0.0
1872-06-01,5.13,-0.009652509652509633
1872-07-01,5.1,-0.005847953216374324
1872-08-01,5.04,-0.0117647058823529
1872-09-01,4.95,-0.017857142857142794
1872-10-01,4.97,0.004040404040403844
1872-11-01,4.95,-0.004024144869215207
1872-12-01,5.07,0.024242424242424176
1873-01-01,5.11,0.007889546351084853
1873-02-01,5.15,0.007827788649706457
1873-03-01,5.11,-0.007766990291262155
1873-04-01,5.04,-0.013698630136986356
1873-05-01,5.05,0.001984126984126977
1873-06-01,4.98,-0.013861386138613763
1873-07-01,4.97,-0.002008032128514192
1873-08-01,4.97,0.0
1873-09-01,4.59,-0.07645875251509049
1873-10-01,4.19,-0.08714596949891051
1873-11-01,4.04,-0.0357995226730311
1873-12-01,4.42,0.09405940594059414
1874-01-01,4.66,0.05429864253393668
1874-02-01,4.8,0.030042918454935563
1874-03-01,4.73,-0.01458333333333317
1874-04-01,4.6,-0.02748414376321373
1874-05-01,4.48,-0.02608695652173898
1874-06-01,4.46,-0.0044642857142858094
1874-07-01,4.46,0.0
1874-08-01,4.47,0.0022421524663676085
1874-09-01,4.54,0.015659955257270708
1874-10-01,4.53,-0.0022026431718060735
1874-11-01,4.57,0.008830022075055233
1874-12-01,4.54,-0.006564551422319487
1875-01-01,4.54,0.0
1875-02-01,4.53,-0.0022026431718060735
1875-03-01,4.59,0.013245033112582627
1875-04-01,4.65,0.013071895424836777
1875-05-01,4.47,-0.03870967741935494
1875-06-01,4.38,-0.020134228187919434
1875-07-01,4.39,0.0022831050228309113
1875-08-01,4.41,0.004555808656036442
1875-09-01,4.37,-0.009070294784580546
1875-10-01,4.3,-0.016018306636155666
1875-11-01,4.37,0.016279069767441978
1875-12-01,4.37,0.0
1876-01-01,4.46,0.020594965675057253
1876-02-01,4.52,0.013452914798206095
1876-03-01,4.51,-0.0022123893805309214
1876-04-01,4.34,-0.037694013303769425
1876-05-01,4.18,-0.03686635944700467
1876-06-01,4.15,-0.007177033492822837
1876-07-01,4.1,-0.012048192771084487
1876-08-01,3.93,-0.04146341463414627
1876-09-01,3.69,-0.06106870229007644
1876-10-01,3.67,-0.005420054200542035
1876-11-01,3.6,-0.019073569482288777
1876-12-01,3.58,-0.005555555555555536
1877-01-01,3.55,-0.008379888268156499
1877-02-01,3.34,-0.05915492957746482
1877-03-01,3.17,-0.050898203592814384
1877-04-01,2.94,-0.0725552050473186
1877-05-01,2.94,0.0
1877-06-01,2.73,-0.0714285714285714
1877-07-01,2.85,0.04395604395604402
1877-08-01,3.05,0.07017543859649122
1877-09-01,3.24,0.06229508196721323
1877-10-01,3.31,0.021604938271604812
1877-11-01,3.26,-0.015105740181268978
1877-12-01,3.25,-0.0030674846625766694
1878-01-01,3.25,0.0
1878-02-01,3.18,-0.021538461538461506
1878-03-01,3.24,0.018867924528301883
1878-04-01,3.33,0.02777777777777768
1878-05-01,3.34,0.0030030030030030463
1878-06-01,3.41,0.020958083832335328
1878-07-01,3.48,0.02052785923753664
1878-08-01,3.45,-0.008620689655172376
1878-09-01,3.52,0.020289855072463725
1878-10-01,3.48,-0.011363636363636354
1878-11-01,3.47,-0.002873563218390718
1878-12-01,3.45,-0.0057636887608069065
1879-01-01,3.58,0.03768115942028971
1879-02-01,3.71,0.03631284916201105
1879-03-01,3.65,-0.016172506738544534
1879-04-01,3.77,0.03287671232876721
1879-05-01,3.94,0.04509283819628651
1879-06-01,3.96,0.0050761421319796
1879-07-01,4.04,0.02020202020202011
1879-08-01,4.07,0.007425742574257432
1879-09-01,4.22,0.03685503685503666
1879-10-01,4.68,0.1090047393364928
1879-11-01,4.93,0.05341880341880345
1879-12-01,4.92,-0.0020283975659228792
1880-01-01,5.11,0.03861788617886197
1880-02-01,5.2,0.017612524461839474
1880-03-01,5.3,0.019230769230769162
1880-04-01,5.18,-0.02264150943396226
1880-05-01,4.77,-0.07915057915057921
1880-06-01,4.79,0.004192872117400492
1880-07-01,5.01,0.045929018789143905
1880-08-01,5.19,0.03592814371257491
1880-09-01,5.18,-0.0019267822736032114
1880-10-01,5.33,0.02895752895752901
1880-11-01,5.61,0.05253283302063805
1880-12-01,5.84,0.04099821746880572
1881-01-01,6.19,0.05993150684931514
1881-02-01,6.17,-0.003231017770597866
1881-03-01,6.24,0.011345218800648427
1881-04-01,6.22,-0.0032051282051283048
1881-05-01,6.5,0.045016077170418
1881-06-01,6.58,0.012307692307692353
1881-07-01,6.35,-0.0349544072948329
1881-08-01,6.2,-0.023622047244094446
1881-09-01,6.25,0.008064516129032251
1881-10-01,6.15,-0.015999999999999903
1881-11-01,6.19,0.006504065040650486
1881-12-01,6.01,-0.029079159935379795
1882-01-01,5.92,-0.014975041597337757
1882-02-01,5.79,-0.02195945945945943
1882-03-01,5.78,-0.0017271157167529916
1882-04-01,5.78,0.0
1882-05-01,5.71,-0.01211072664359869
1882-06-01,5.68,-0.005253940455341555
1882-07-01,6.0,0.05633802816901423
1882-08-01,6.18,0.030000000000000027
1882-09-01,6.24,0.009708737864077666
1882-10-01,6.07,-0.027243589743589758
1882-11-01,5.81,-0.042833607907743154
1882-12-01,5.84,0.005163511187607606
1883-01-01,5.81,-0.005136986301369939
1883-02-01,5.68,-0.022375215146299476
1883-03-01,5.75,0.012323943661971981
1883-04-01,5.87,0.02086956521739136
1883-05-01,5.77,-0.017035775127768438
1883-06-01,5.82,0.008665511265164794
1883-07-01,5.73,-0.015463917525773141
1883-08-01,5.47,-0.04537521815008738
1883-09-01,5.53,0.010968921389396868
1883-10-01,5.38,-0.027124773960217063
1883-11-01,5.46,0.014869888475836479
1883-12-01,5.34,-0.02197802197802201
1884-01-01,5.18,-0.029962546816479474
1884-02-01,5.32,0.027027027027027195
1884-03-01,5.3,-0.00375939849624074
1884-04-01,5.06,-0.04528301886792452
1884-05-01,4.65,-0.08102766798418959
1884-06-01,4.46,-0.04086021505376347
1884-07-01,4.46,0.0
1884-08-01,4.74,0.06278026905829592
1884-09-01,4.59,-0.03164556962025322
1884-10-01,4.44,-0.03267973856209139
1884-11-01,4.35,-0.020270270270270396
1884-12-01,4.34,-0.0022988505747125743
1885-01-01,4.24,-0.02304147465437778
1885-02-01,4.37,0.030660377358490587
1885-03-01,4.38,0.0022883295194506825
1885-04-01,4.37,-0.0022831050228310223
1885-05-01,4.32,-0.011441647597253968
1885-06-01,4.3,-0.004629629629629761
1885-07-01,4.46,0.037209302325581506
1885-08-01,4.71,0.056053811659192876
1885-09-01,4.65,-0.0127388535031846
1885-10-01,4.92,0.05806451612903207
1885-11-01,5.24,0.0650406504065042
1885-12-01,5.2,-0.007633587786259555
1886-01-01,5.2,0.0
1886-02-01,5.3,0.019230769230769162
1886-03-01,5.19,-0.02075471698113196
1886-04-01,5.12,-0.013487475915221592
1886-05-01,5.02,-0.01953125000000011
1886-06-01,5.25,0.045816733067729265
1886-07-01,5.33,0.015238095238095273
1886-08-01,5.37,0.007504690431519689
1886-09-01,5.51,0.02607076350093096
1886-10-01,5.65,0.025408348457350405
1886-11-01,5.79,0.024778761061946764
1886-12-01,5.64,-0.02590673575129543
1887-01-01,5.58,-0.010638297872340385
1887-02-01,5.54,-0.007168458781361964
1887-03-01,5.67,0.023465703971119023
1887-04-01,5.8,0.022927689594356204
1887-05-01,5.9,0.017241379310344973
1887-06-01,5.73,-0.028813559322033888
1887-07-01,5.59,-0.02443280977312401
1887-08-01,5.45,-0.025044722719141266
1887-09-01,5.38,-0.012844036697247763
1887-10-01,5.2,-0.03345724907063197
1887-11-01,5.3,0.019230769230769162
1887-12-01,5.27,-0.005660377358490565
1888-01-01,5.31,0.007590132827324458
1888-02-01,5.28,-0.005649717514124131
1888-03-01,5.08,-0.037878787878787956
1888-04-01,5.1,0.003937007874015741
1888-05-01,5.17,0.013725490196078383
1888-06-01,5.01,-0.030947775628626717
1888-07-01,5.14,0.02594810379241519
1888-08-01,5.25,0.021400778210116878
1888-09-01,5.38,0.024761904761904763
1888-10-01,5.35,-0.005576208178438735
1888-11-01,5.24,-0.020560747663551315
1888-12-01,5.14,-0.019083969465648942
1889-01-01,5.24,0.01945525291828809
1889-02-01,5.3,0.011450381679389166
1889-03-01,5.19,-0.02075471698113196
1889-04-01,5.18,-0.0019267822736032114
1889-05-01,5.32,0.027027027027027195
1889-06-01,5.41,0.016917293233082775
1889-07-01,5.3,-0.020332717190388205
1889-08-01,5.37,0.013207547169811429
1889-09-01,5.5,0.024208566108007368
1889-10-01,5.4,-0.018181818181818077
1889-11-01,5.35,-0.009259259259259411
1889-12-01,5.32,-0.005607476635513864
1890-01-01,5.38,0.011278195488721776
1890-02-01,5.32,-0.011152416356877248
1890-03-01,5.28,-0.007518796992481258
1890-04-01,5.39,0.02083333333333326
1890-05-01,5.62,0.04267161410018572
1890-06-01,5.58,-0.007117437722419906
1890-07-01,5.54,-0.007168458781361964
1890-08-01,5.41,-0.023465703971119134
1890-09-01,5.32,-0.01663585951940849
1890-10-01,5.08,-0.045112781954887216
1890-11-01,4.71,-0.07283464566929132
1890-12-01,4.6,-0.023354564755838747
1891-01-01,4.84,0.052173913043478404
1891-02-01,4.9,0.012396694214876103
1891-03-01,4.81,-0.01836734693877562
1891-04-01,4.97,0.033264033264033266
1891-05-01,4.95,-0.004024144869215207
1891-06-01,4.85,-0.020202020202020332
1891-07-01,4.77,-0.016494845360824795
1891-08-01,4.93,0.033542976939203495
1891-09-01,5.33,0.08113590263691695
1891-10-01,5.33,0.0
1891-11-01,5.25,-0.015009380863039379
1891-12-01,5.41,0.030476190476190546
1892-01-01,5.51,0.01848428835489835
1892-02-01,5.52,0.001814882032667775
1892-03-01,5.58,0.010869565217391353
1892-04-01,5.57,-0.0017921146953404632
1892-05-01,5.57,0.0
1892-06-01,5.54,-0.0053859964093357915
1892-07-01,5.54,0.0
1892-08-01,5.62,0.014440433212996373
1892-09-01,5.48,-0.02491103202846967
1892-10-01,5.59,0.02007299270072993
1892-11-01,5.57,-0.003577817531305816
1892-12-01,5.51,-0.010771992818671583
1893-01-01,5.61,0.01814882032667886
1893-02-01,5.51,-0.01782531194295911
1893-03-01,5.31,-0.03629764065335761
1893-04-01,5.31,0.0
1893-05-01,4.84,-0.08851224105461386
1893-06-01,4.61,-0.04752066115702469
1893-07-01,4.18,-0.09327548806941444
1893-08-01,4.08,-0.023923444976076458
1893-09-01,4.37,0.07107843137254899
1893-10-01,4.5,0.029748283752860427
1893-11-01,4.57,0.015555555555555545
1893-12-01,4.41,-0.035010940919037226
1894-01-01,4.32,-0.020408163265306034
1894-02-01,4.38,0.01388888888888884
1894-03-01,4.51,0.029680365296803624
1894-04-01,4.57,0.01330376940133049
1894-05-01,4.4,-0.03719912472647702
1894-06-01,4.34,-0.01363636363636378
1894-07-01,4.25,-0.020737327188940058
1894-08-01,4.41,0.03764705882352937
